\,9999,999,99,90,max,avg,tps
T=1,0.01214,0.00842,0.0014,0.00088,33.97374,0.00099,943039
T=3,0.01654,0.00917,0.00224,0.00179,33.4097,0.00178,1359308
T=6,0.04667,0.00698,0.00235,0.00201,45.59871,0.00247,2234667
T=12,3.78925,0.0096,0.0047,0.00266,70.97133,0.00442,2256227
T=24,20.14287,0.00951,0.003,0.00204,130.61806,0.00759,2529813
T=48,11.97397,0.00933,0.00414,0.00194,63.70724,0.00475,2240327
T=100,4.03155,0.00702,0.00329,0.00207,52.42699,0.0038,2615509
T=200,13.81496,0.00937,0.00277,0.00199,83.96472,0.00568,2418599
T=300,17.01571,0.00951,0.00273,0.00204,140.03271,0.00633,2286932
T=400,11.44505,0.00955,0.00299,0.00216,66.33289,0.00512,2336418
T=500,16.79936,0.00958,0.00359,0.00233,176.45351,0.00675,2350490
